seed,seat,normal_top,hard_top,agree,hard_scanned,hard_elapsed_ms
2000, East, 8C, 8C, true, 2, 0
2001, East, 3C, 3C, true, 3, 0
2002, East, 6C, 6C, true, 1, 0
2003, East, 5C, 5C, true, 4, 0
2004, East, 4C, 4C, true, 4, 0
2005, East, 3C, 3C, true, 4, 0
2006, East, 2C, 2C, true, 1, 0
2007, East, 4C, 4C, true, 3, 0
2008, East, 3C, 3C, true, 4, 0
2009, East, 3C, 3C, true, 6, 1
2010, East, 2C, 2C, true, 1, 0
2011, East, JC, JC, true, 1, 0
2012, East, 3C, 3C, true, 3, 0
2013, East, 2C, 2C, true, 1, 0
2014, East, 2C, 2C, true, 1, 0
2015, East, 4C, 4C, true, 4, 0
2016, East, 5C, 5C, true, 1, 0
2017, East, 3C, 3C, true, 4, 0
2018, East, 10C, 10C, true, 3, 0
2019, East, 2C, 2C, true, 1, 0
2020, East, 4C, 4C, true, 3, 0
2021, East, 2C, 2C, true, 1, 0
2022, East, 9C, 9C, true, 2, 0
2023, East, 4C, 4C, true, 3, 0
2024, East, 2C, 2C, true, 1, 0
2025, East, 4C, 4C, true, 4, 0
2026, East, JC, JC, true, 2, 0
2027, East, 4C, 4C, true, 3, 0
2028, East, 6C, 6C, true, 1, 0
2029, East, 3C, 3C, true, 4, 0
2030, East, 2C, 2C, true, 1, 0
2031, East, 9S, AD, false, 6, 0
2032, East, 6C, 6C, true, 2, 0
2033, East, JC, JC, true, 2, 0
2034, East, 2C, 2C, true, 1, 0
2035, East, 3C, 3C, true, 3, 1
2036, East, 3C, 3C, true, 3, 0
2037, East, 8C, 8C, true, 3, 0
2038, East, 3C, 3C, true, 4, 0
2039, East, 2C, 2C, true, 1, 0
2040, East, 2C, 2C, true, 1, 0
2041, East, 2C, 2C, true, 1, 0
2042, East, 2C, 2C, true, 1, 0
2043, East, 8C, 8C, true, 2, 0
2044, East, 9S, 2S, false, 6, 0
2045, East, 2C, 2C, true, 1, 0
2046, East, 4C, 4C, true, 3, 0
2047, East, 5C, 5C, true, 3, 0
2048, East, 6C, 6C, true, 3, 0
2049, East, 4C, 4C, true, 4, 0
2050, East, 5C, 5C, true, 3, 0
2051, East, 8C, 8C, true, 3, 0
2052, East, 8C, 8C, true, 2, 0
2053, East, 2C, 2C, true, 1, 0
2054, East, 4C, 4C, true, 2, 0
2055, East, 2C, 2C, true, 1, 0
2056, East, 6C, 6C, true, 3, 0
2057, East, 2C, 2C, true, 1, 0
2058, East, 2C, 2C, true, 1, 0
2059, East, 2C, 2C, true, 1, 0
2060, East, AC, AC, true, 1, 0
2061, East, 2C, 2C, true, 1, 0
2062, East, 2C, 2C, true, 1, 0
2063, East, 5C, 5C, true, 3, 0
2064, East, 3C, 3C, true, 4, 0
2065, East, 7C, 7C, true, 4, 1
2066, East, 9C, 9C, true, 3, 0
2067, East, JC, JC, true, 1, 0
2068, East, 3C, 3C, true, 5, 1
2069, East, 3C, 3C, true, 3, 0
2070, East, 2C, 2C, true, 1, 0
2071, East, 2C, 2C, true, 1, 0
2072, East, 2C, 2C, true, 1, 0
2073, East, 3C, 3C, true, 5, 0
2074, East, 7C, 7C, true, 2, 0
2075, East, JS, 4S, false, 6, 0
2076, East, 4C, 4C, true, 4, 0
2077, East, 6C, 6C, true, 4, 0
2078, East, 9S, 4S, false, 6, 0
2079, East, 6C, 6C, true, 3, 1
2080, East, 3C, 3C, true, 3, 0
2081, East, 3C, 3C, true, 4, 0
2082, East, 2C, 2C, true, 1, 0
2083, East, 2C, 2C, true, 1, 0
2084, East, 2C, 2C, true, 1, 0
2085, East, 2C, 2C, true, 1, 0
2086, East, 3C, 3C, true, 5, 1
2087, East, 2C, 2C, true, 1, 0
2088, East, 10C, 10C, true, 1, 0
2089, East, 6C, 6C, true, 2, 0
2090, East, 2C, 2C, true, 1, 0
2091, East, 5C, 5C, true, 3, 0
2092, East, 6C, 6C, true, 1, 0
2093, East, 6C, 6C, true, 3, 0
2094, East, 6C, 6C, true, 4, 1
2095, East, 6C, 6C, true, 3, 1
2096, East, QC, QC, true, 2, 0
2097, East, KC, KC, true, 1, 0
2098, East, 5C, 5C, true, 4, 0
2099, East, 2C, 2C, true, 1, 0
2100, East, 7C, 7C, true, 2, 0
2101, East, 8C, 8C, true, 2, 0
2102, East, 4C, 4C, true, 4, 0
2103, East, 5C, 5C, true, 4, 1
2104, East, 2C, 2C, true, 1, 0
2105, East, 4C, 4C, true, 1, 0
2106, East, 7C, 7C, true, 4, 1
2107, East, 10S, KD, false, 6, 0
