seed,seat,normal_top,hard_top,agree,hard_scanned,hard_elapsed_ms
2414, North, 3C, 3C, true, 4, 1
2415, North, 3C, 3C, true, 6, 0
2416, North, 2C, 2C, true, 1, 0
2417, North, 3C, 3C, true, 2, 0
2418, North, 3C, 3C, true, 4, 0
2419, North, 3C, 3C, true, 3, 0
2420, North, 2C, 2C, true, 1, 0
2421, North, 3C, 3C, true, 4, 0
2422, North, 8S, 2S, false, 6, 0
2423, North, 7C, 7C, true, 2, 0
2424, North, 2C, 2C, true, 1, 0
2425, North, KC, KC, true, 1, 0
2426, North, 4C, 4C, true, 3, 0
2427, North, QC, QC, true, 2, 0
2428, North, 3C, 3C, true, 4, 0
2429, North, 6C, 6C, true, 3, 0
2430, North, 2C, 2C, true, 1, 0
2431, North, 2C, 2C, true, 1, 0
2432, North, 7C, 7C, true, 3, 0
2433, North, QC, QC, true, 2, 0
2434, North, 3C, 3C, true, 4, 0
2435, North, 5C, 5C, true, 2, 0
2436, North, 3C, 3C, true, 3, 1
2437, North, 2C, 2C, true, 1, 0
2438, North, 5C, 5C, true, 6, 2
2439, North, 6C, 6C, true, 3, 1
2440, North, AC, AC, true, 1, 0
2441, North, 2C, 2C, true, 1, 0
2442, North, 4C, 4C, true, 4, 0
2443, North, 2C, 2C, true, 1, 0
2444, North, 5C, 5C, true, 2, 0
2445, North, 5C, 5C, true, 3, 0
2446, North, 2C, 2C, true, 1, 0
2447, North, 3C, 3C, true, 4, 0
2448, North, 7C, 7C, true, 2, 0
2449, North, 4C, 4C, true, 1, 0
2450, North, 2C, 2C, true, 1, 0
2451, North, 3C, 3C, true, 2, 0
2452, North, 8C, 8C, true, 2, 0
2453, North, 6C, 6C, true, 3, 0
2454, North, 3C, 3C, true, 4, 0
2455, North, 7C, 7C, true, 4, 0
2456, North, 10C, 10C, true, 3, 0
2457, North, 2C, 2C, true, 1, 0
2458, North, 4C, 4C, true, 5, 0
2459, North, 7C, 7C, true, 3, 0
2460, North, 3C, 3C, true, 5, 0
2461, North, 4C, 4C, true, 1, 0
2462, North, 2C, 2C, true, 1, 0
2463, North, 2C, 2C, true, 1, 0
2464, North, 5C, 5C, true, 5, 1
2465, North, 2C, 2C, true, 1, 0
2466, North, 3C, 3C, true, 4, 0
2467, North, 4C, 4C, true, 3, 0
2468, North, 3C, 3C, true, 6, 0
2469, North, JC, JC, true, 3, 0
2470, North, 6C, 6C, true, 5, 1
2471, North, 3C, 3C, true, 4, 0
2472, North, 4C, 4C, true, 2, 0
2473, North, 8C, 8C, true, 2, 0
2474, North, 8C, 8C, true, 2, 0
2475, North, 2C, 2C, true, 1, 0
2476, North, 6C, 6C, true, 1, 0
