seed,seat,normal_top,hard_top,agree,hard_scanned,hard_elapsed_ms
2352, South, 4C, 4C, true, 3, 0
2353, South, 3C, 3C, true, 3, 0
2354, South, 9C, 9C, true, 2, 0
2355, South, 3C, 3C, true, 3, 0
2356, South, 3C, 3C, true, 2, 0
2357, South, 3C, 3C, true, 4, 0
2358, South, 6C, 6C, true, 4, 1
2359, South, 3C, 3C, true, 5, 0
2360, South, 2C, 2C, true, 1, 0
2361, South, 3C, 3C, true, 5, 0
2362, South, 6C, 6C, true, 2, 0
2363, South, 2C, 2C, true, 1, 0
2364, South, 2C, 2C, true, 1, 0
2365, South, 3C, 3C, true, 6, 0
2366, South, 2C, 2C, true, 1, 0
2367, South, 5C, 5C, true, 3, 0
2368, South, 7C, 7C, true, 2, 0
2369, South, 3C, 3C, true, 6, 0
2370, South, 9C, 9C, true, 2, 0
2371, South, 8C, 8C, true, 3, 0
2372, South, 2C, 2C, true, 1, 0
2373, South, 4C, 4C, true, 3, 0
2374, South, 9C, 9C, true, 1, 0
2375, South, 4C, 4C, true, 3, 0
2376, South, 5C, 5C, true, 3, 1
2377, South, 2C, 2C, true, 1, 0
2378, South, 5C, 5C, true, 6, 0
2379, South, 3C, 3C, true, 3, 0
2380, South, 2C, 2C, true, 1, 0
2381, South, 3C, 3C, true, 2, 0
2382, South, 8C, 8C, true, 2, 0
2383, South, 3C, 3C, true, 1, 0
2384, South, 3C, 3C, true, 2, 0
2385, South, KD, KD, true, 4, 0
2386, South, 2C, 2C, true, 1, 0
2387, South, 8C, 8C, true, 2, 0
2388, South, 9C, 9C, true, 2, 0
2389, South, KC, KC, true, 2, 0
2390, South, 6C, 6C, true, 3, 0
2391, South, 5C, 5C, true, 2, 0
2392, South, 3C, 3C, true, 1, 0
2393, South, 2C, 2C, true, 1, 0
2394, South, 4C, 4C, true, 4, 0
2395, South, 2C, 2C, true, 1, 0
2396, South, 3C, 3C, true, 4, 0
2397, South, 4C, 4C, true, 4, 0
2398, South, 3C, 3C, true, 4, 0
2399, South, 4C, 4C, true, 2, 0
2400, South, 3C, 3C, true, 4, 0
2401, South, 5C, 5C, true, 3, 0
2402, South, 7C, 7C, true, 3, 0
2403, South, 5C, 5C, true, 4, 1
2404, South, 2C, 2C, true, 1, 0
2405, South, 3C, 3C, true, 2, 0
2406, South, 4C, 4C, true, 3, 0
2407, South, 4C, 4C, true, 2, 0
2408, South, 3C, 3C, true, 5, 0
2409, South, 2C, 2C, true, 1, 0
2410, South, 2C, 2C, true, 1, 0
2411, South, 3C, 3C, true, 4, 0
2412, South, 9C, 9C, true, 3, 0
2413, South, 3C, 3C, true, 3, 0
2414, South, 2C, 2C, true, 1, 0
2415, South, 2C, 2C, true, 1, 0
2416, South, 5C, 5C, true, 3, 0
2417, South, 4C, 4C, true, 3, 0
2418, South, 2C, 2C, true, 1, 0
2419, South, 2C, 2C, true, 1, 0
2420, South, 3C, 3C, true, 2, 0
2421, South, 4C, 4C, true, 3, 0
2422, South, 2C, 2C, true, 1, 0
2423, South, 2C, 2C, true, 1, 0
2424, South, 4C, 4C, true, 4, 0
2425, South, 2C, 2C, true, 1, 0
2426, South, 7C, 7C, true, 2, 0
2427, South, 2C, 2C, true, 1, 0
2428, South, 8C, 8C, true, 2, 1
2429, South, 2C, 2C, true, 1, 0
2430, South, 8C, 8C, true, 3, 0
2431, South, 5C, 5C, true, 3, 0
2432, South, 2C, 2C, true, 1, 0
2433, South, 6C, 6C, true, 3, 0
2434, South, 2C, 2C, true, 1, 0
2435, South, 4C, 4C, true, 2, 0
2436, South, 6C, 6C, true, 6, 2
2437, South, 5C, 5C, true, 5, 0
2438, South, 3C, 3C, true, 3, 0
2439, South, 4C, 4C, true, 4, 0
2440, South, 4C, 4C, true, 4, 0
2441, South, 3C, 3C, true, 2, 0
2442, South, 8C, 8C, true, 2, 0
2443, South, 6C, 6C, true, 5, 1
2444, South, 2C, 2C, true, 1, 0
2445, South, 2S, 2S, true, 6, 0
2446, South, 4C, 4C, true, 5, 1
2447, South, 5C, 5C, true, 3, 0
2448, South, 5C, 5C, true, 6, 1
2449, South, 5C, 5C, true, 5, 3
2450, South, 5C, 5C, true, 2, 0
2451, South, 4C, 4C, true, 5, 1
2452, South, 4C, 4C, true, 3, 0
2453, South, 4C, 4C, true, 4, 0
2454, South, 4C, 4C, true, 4, 0
2455, South, 8C, 8C, true, 2, 0
2456, South, 4C, 4C, true, 3, 0
2457, South, 3C, 3C, true, 3, 0
2458, South, 7C, 7C, true, 2, 0
2459, South, 2C, 2C, true, 1, 0
2460, South, 2C, 2C, true, 1, 0
2461, South, 2C, 2C, true, 1, 0
2462, South, 9C, 9C, true, 2, 0
2463, South, 3C, 3C, true, 6, 0
2464, South, 4C, 4C, true, 3, 0
2465, South, 5C, 5C, true, 3, 0
2466, South, 2C, 2C, true, 1, 0
2467, South, 8C, 8C, true, 5, 0
2468, South, 10C, 10C, true, 2, 0
2469, South, 2C, 2C, true, 1, 0
2470, South, 7C, 7C, true, 4, 1
2471, South, 2C, 2C, true, 1, 0
2472, South, 3C, 3C, true, 6, 0
